lon,lat,mag,time_string,depth,catalog_id,event_id
25.45,36.04,4.3,2010-01-05T02:47:16,115.0,,0
13.41,43.12,4.2,2010-01-12T08:25:10,25.0,,1
13.47,43.26,4.1,2010-01-12T13:35:47,31.0,,2
27.71,35.2,5.0,2010-01-17T20:16:00,52.0,,3
21.95,38.39,5.5,2010-01-18T15:56:00,10.0,,4
22.04,38.42,5.4,2010-01-22T00:46:57,5.3,,5
21.98,38.32,4.4,2010-01-22T10:53:34,10.0,,6
22.01,38.34,4.7,2010-01-22T10:59:17,10.0,,7
26.94,35.11,4.7,2010-01-26T13:31:14,2.0,,8
22.45,38.3,4.4,2010-01-30T13:47:39,10.0,,9
38.01,39.52,4.5,2010-02-01T04:01:43,10.0,,10
19.41,42.27,4.6,2010-02-11T02:25:52,10.0,,11
25.42,33.98,5.5,2010-02-11T21:56:30,10.0,,12
7.59,56.9,4.1,2010-02-19T21:08:57,10.0,,13
40.05,38.82,6.1,2010-03-08T02:32:33,2.0,,14
40.22,38.82,5.6,2010-03-08T07:47:42,10.0,,15
20.66,42.76,4.9,2010-03-10T13:38:04,2.0,,16
35.03,40.51,4.5,2010-04-02T07:37:17,2.0,,17
15.11,37.76,4.2,2010-04-02T20:04:47,2.0,,18
6.23,35.99,4.4,2010-04-10T08:38:08,15.0,,19
12.44,43.49,4.1,2010-04-15T01:47:37,2.0,,20
26.04,34.2,5.4,2010-04-24T15:01:11,30.0,,21
26.5,34.94,4.4,2010-04-26T10:26:51,10.0,,22
27.67,36.3,4.3,2010-04-28T16:35:08,15.0,,23
4.12,35.9,5.4,2010-05-14T12:29:22,10.0,,24
4.0,35.97,4.1,2010-05-14T23:43:25,15.0,,25
4.05,35.84,5.1,2010-05-16T06:52:41,2.0,,26
4.1,35.86,5.1,2010-05-23T13:28:17,10.0,,27
16.59,42.37,4.3,2010-06-04T18:44:53,15.0,,28
24.75,35.41,4.5,2010-06-06T12:21:00,68.0,,29
41.55,42.67,4.3,2010-06-07T09:26:51,2.0,,30
26.42,45.57,4.3,2010-06-08T15:16:10,110.0,,31
16.14,38.83,4.1,2010-06-16T22:39:41,15.0,,32
17.0,43.78,4.4,2010-06-20T23:13:52,10.0,,33
19.84,41.17,4.8,2010-07-09T22:15:10,12.0,,34
21.81,36.23,4.9,2010-07-13T03:18:10,30.0,,35
26.84,36.79,5.2,2010-07-16T08:11:00,168.0,,36
23.99,39.31,5.0,2010-07-16T18:53:10,10.0,,37
